train_number,train_type,run_date,month,day_of_week,station_code,station_index,km_from_origin,scheduled_arrival_hour,weather_condition,is_monsoon,congestion_level,block_section_occupancy,preceding_train_delayed,trains_queued_in_section,cumulative_delay_minutes,previous_station_delay,stop_duration,num_remaining_stops,actual_delay_minutes
15012,Express,2026-11-01,11,0,CSMT,0,0,9,clear,False,0.0,2,0,0,0.0,0.0,0,10,0.0
15012,Express,2026-11-01,11,0,DR,1,9,9,clear,False,0.67,0,1,0,0.0,0.0,4,9,12.0
15012,Express,2026-11-01,11,0,TNA,2,34,9,clear,False,0.91,1,1,0,12.0,12.0,4,8,22.3
15012,Express,2026-11-01,11,0,KYN,3,54,9,clear,False,0.28,0,1,0,34.3,22.3,4,7,25.0
15012,Express,2026-11-01,11,0,KJT,4,100,10,clear,False,0.25,1,1,0,59.3,25.0,4,6,31.7
15012,Express,2026-11-01,11,0,LNL,5,128,10,clear,False,0.38,1,1,0,91.0,31.7,4,5,37.5
15012,Express,2026-11-01,11,0,SVJR,6,190,11,clear,False,0.4,0,1,0,128.5,37.5,4,4,40.9
15012,Express,2026-11-01,11,0,PUNE,7,192,11,clear,False,0.74,2,1,0,169.4,40.9,4,3,48.2
15012,Express,2026-11-01,11,0,DD,8,268,12,clear,False,0.5,4,1,0,217.6,48.2,4,2,58.5
15012,Express,2026-11-01,11,0,KWV,9,377,13,clear,False,0.36,0,1,0,276.1,58.5,4,1,59.3
15012,Express,2026-11-01,11,0,SUR,10,455,14,clear,False,0.45,1,1,0,335.4,59.3,0,0,59.8
19785,Intercity,2026-11-01,11,0,SUR,0,0,7,clear,False,0.0,0,0,0,0.0,0.0,0,10,0.0
19785,Intercity,2026-11-01,11,0,KWV,1,78,8,clear,False,0.45,3,0,0,0.0,0.0,4,9,12.1
19785,Intercity,2026-11-01,11,0,DD,2,187,9,clear,False,0.26,0,0,0,12.1,12.1,4,8,14.4
19785,Intercity,2026-11-01,11,0,PUNE,3,263,10,clear,False,0.36,2,0,2,26.5,14.4,4,7,22.2
19785,Intercity,2026-11-01,11,0,SVJR,4,265,10,clear,False,0.65,3,1,0,48.7,22.2,4,6,31.5
